date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:01	407549/407549	---M--	200	added ('OK')	image/svg+xml	etag:%22638d9312-637fd%22	https://www.doenets.lk:443/assets/vendor/fonts/fontawesome/fa-brands-400.svg	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/fontawesome/fa-brands-400.svg	(from https://www.doenets.lk:443/assets/vendor/fonts/fontawesome.css)
21:34:02	65908/65908	---M--	200	added ('OK')	font/woff	etag:%22638d9312-10174%22	https://www.doenets.lk:443/assets/vendor/fonts/ionicons/ionicons.woff?v=4.4.7	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/ionicons/ioniconsc8f5.woff	(from https://www.doenets.lk:443/assets/vendor/fonts/ionicons.css)
21:34:03	112650/112650	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22638d9312-1b80a%22	https://www.doenets.lk:443/assets/vendor/fonts/ionicons/ionicons.eot?v=4.4.7	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/ionicons/ioniconsc8f5.eot	(from https://www.doenets.lk:443/assets/vendor/fonts/ionicons.css)
21:34:03	112472/112472	---M--	200	added ('OK')	application/octet-stream	etag:%22638d9312-1b758%22	https://www.doenets.lk:443/assets/vendor/fonts/ionicons/ionicons.ttf?v=4.4.7	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/ionicons/ioniconsc8f5.ttf	(from https://www.doenets.lk:443/assets/vendor/fonts/ionicons.css)
21:34:03	553353/553353	---M--	200	added ('OK')	image/svg+xml	etag:%22638d9312-87189%22	https://www.doenets.lk:443/assets/vendor/fonts/fontawesome/fa-solid-900.svg	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/fontawesome/fa-solid-900.svg	(from https://www.doenets.lk:443/assets/vendor/fonts/fontawesome.css)
21:34:05	234700/234700	---M--	200	added ('OK')	image/jpeg	etag:%225ef4d2b0-394cc%22	https://www.doenets.lk:443/images/client/BannerXl.jpg	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/images/client/BannerXl.jpg	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:06	267350/267350	---M--	200	added ('OK')	image/svg+xml	etag:%22638d9312-41456%22	https://www.doenets.lk:443/assets/vendor/fonts/ionicons/ionicons.svg?v=4.4.7	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/assets/vendor/fonts/ionicons/ioniconsc8f5.svg	(from https://www.doenets.lk:443/assets/vendor/fonts/ionicons.css)
21:34:07	222296/222296	---M--	200	added ('OK')	image/jpeg	etag:%225ef4d2b0-36458%22	https://www.doenets.lk:443/images/client/BannerMobile.jpg	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/images/client/BannerMobile.jpg	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:08	44396/44396	---M--	200	added ('OK')	font/woff2	etag:%22638d9312-ad6c%22	https://www.doenets.lk:443/MaterialIcons-Regular.29e1bb4218f492854c16.woff2?v=2.2.1	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/MaterialIcons-Regular.29e1bb4218f492854c1689bf.woff2	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:08	143258/143258	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22638d9312-22f9a%22	https://www.doenets.lk:443/MaterialIcons-Regular.e79bfd88537def476913.eot?v=2.2.1	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/MaterialIcons-Regular.e79bfd88537def47691389bf.eot	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:09	78776/78776	---M--	200	added ('OK')	font/woff	etag:%22638d9312-133b8%22	https://www.doenets.lk:443/MaterialIcons-Regular.3c3d0242794b4682460a.woff?v=2.2.1	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/MaterialIcons-Regular.3c3d0242794b4682460a89bf.woff	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:10	216167/216167	---M--	200	added ('OK')	image/jpeg	etag:%225ef4d2b0-34c67%22	https://www.doenets.lk:443/images/client/Banner_XXL_Monitor.jpg	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/images/client/Banner_XXL_Monitor.jpg	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:10	128180/128180	---M--	200	added ('OK')	application/octet-stream	etag:%22638d9312-1f4b4%22	https://www.doenets.lk:443/MaterialIcons-Regular.a37b0c01c0baf1888ca8.ttf?v=2.2.1	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/MaterialIcons-Regular.a37b0c01c0baf1888ca889bf.ttf	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:18	281658/281658	---M--	200	added ('OK')	image/svg+xml	etag:%22638d9312-44c3a%22	https://www.doenets.lk:443/MaterialIcons-Regular.a1adea65594c502f9d94.svg?v=2.2.1	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/MaterialIcons-Regular.a1adea65594c502f9d9489bf.svg	(from https://www.doenets.lk:443/styles.85ae39be287006094234.css)
21:34:24	1596746/1596746	---M--	200	added ('OK')	application/javascript	etag:%22638d9312-185d4a%22	https://www.doenets.lk:443/main.096c89b1433486fd7261.js	C:/My%20Web%20Sites/exam%20result%20sedfr/www.doenets.lk_443/main.096c89b1433486fd7261.js	(from https://www.doenets.lk/)
21:34:26	2293/2293	---M--	200	added ('OK')	text/html	etag:%22638d9312-8f5%22	https://www.doenets.lk:443/robots.txt		(from https://www.doenets.lk:443/assets/vendor/fonts/fontawesome.css)
